CMDLINE C:\Users\garci\anaconda3\envs\ED\python.exe BusquedaInsertBthree.py
MEM 582.960938 1731279284.2637
MEM 583.597656 1731279284.3642
MEM 584.484375 1731279284.4646
MEM 585.359375 1731279284.5651
MEM 585.984375 1731279284.6657
MEM 586.875000 1731279284.7659
MEM 587.757812 1731279284.8662
MEM 588.332031 1731279284.9667
MEM 589.257812 1731279285.0673
MEM 590.140625 1731279285.1680
MEM 590.753906 1731279285.2686
MEM 591.652344 1731279285.3690
MEM 592.472656 1731279285.4696
MEM 593.093750 1731279285.5703
MEM 594.035156 1731279285.6708
MEM 594.601562 1731279285.7711
MEM 595.484375 1731279285.8714
MEM 596.363281 1731279285.9718
MEM 596.988281 1731279286.0723
MEM 597.867188 1731279286.1727
MEM 598.746094 1731279286.2732
MEM 599.371094 1731279286.3738
MEM 600.250000 1731279286.4741
MEM 601.085938 1731279286.5744
MEM 601.703125 1731279286.6750
MEM 602.570312 1731279286.7753
MEM 603.449219 1731279286.8755
MEM 604.062500 1731279286.9760
MEM 604.925781 1731279287.0762
MEM 605.832031 1731279287.1767
MEM 606.445312 1731279287.2771
MEM 607.328125 1731279287.3775
MEM 607.957031 1731279287.4781
MEM 608.832031 1731279287.5784
MEM 609.718750 1731279287.6788
MEM 610.347656 1731279287.7792
MEM 611.203125 1731279287.8799
MEM 612.105469 1731279287.9803
MEM 612.738281 1731279288.0808
MEM 613.621094 1731279288.1814
MEM 614.492188 1731279288.2817
MEM 615.128906 1731279288.3824
MEM 616.011719 1731279288.4828
MEM 616.863281 1731279288.5834
MEM 617.472656 1731279288.6838
MEM 618.347656 1731279288.7841
MEM 619.324219 1731279288.8844
MEM 619.992188 1731279288.9848
MEM 620.871094 1731279289.0852
MEM 621.750000 1731279289.1857
MEM 622.378906 1731279289.2863
MEM 623.265625 1731279289.3867
MEM 623.890625 1731279289.4873
MEM 624.738281 1731279289.5877
MEM 625.640625 1731279289.6878
MEM 626.277344 1731279289.7884
MEM 627.160156 1731279289.8887
