CMDLINE C:\Users\garci\anaconda3\envs\ED\python.exe BusquedaInsertBthree.py
MEM 1.593750 1729975433.5452
MEM 28.136719 1729975433.6498
MEM 40.902344 1729975433.7501
MEM 53.062500 1729975433.8504
MEM 73.867188 1729975433.9506
MEM 92.257812 1729975434.0512
MEM 110.113281 1729975434.1517
MEM 176.117188 1729975434.2521
MEM 211.957031 1729975434.3523
MEM 184.257812 1729975434.4530
MEM 185.125000 1729975434.5537
MEM 185.890625 1729975434.6538
MEM 186.679688 1729975434.7541
MEM 187.617188 1729975434.8544
MEM 188.253906 1729975434.9546
MEM 188.941406 1729975435.0552
MEM 189.628906 1729975435.1556
MEM 190.488281 1729975435.2559
MEM 191.183594 1729975435.3562
MEM 192.121094 1729975435.4566
MEM 193.007812 1729975435.5573
MEM 193.761719 1729975435.6577
MEM 194.613281 1729975435.7581
MEM 195.578125 1729975435.8587
MEM 196.226562 1729975435.9591
MEM 197.148438 1729975436.0593
MEM 198.078125 1729975436.1599
MEM 198.707031 1729975436.2605
MEM 199.664062 1729975436.3607
MEM 200.410156 1729975436.4614
MEM 201.292969 1729975436.5620
MEM 202.175781 1729975436.6625
MEM 202.859375 1729975436.7627
MEM 203.742188 1729975436.8629
MEM 204.699219 1729975436.9635
MEM 205.312500 1729975437.0636
MEM 206.261719 1729975437.1642
MEM 207.144531 1729975437.2644
MEM 207.832031 1729975437.3645
MEM 208.710938 1729975437.4648
MEM 209.589844 1729975437.5653
MEM 210.277344 1729975437.6659
MEM 211.156250 1729975437.7664
MEM 211.843750 1729975437.8667
MEM 212.679688 1729975437.9672
MEM 213.601562 1729975438.0677
MEM 214.292969 1729975438.1682
MEM 215.144531 1729975438.2688
MEM 216.050781 1729975438.3692
MEM 216.753906 1729975438.4698
MEM 217.636719 1729975438.5701
MEM 218.566406 1729975438.6708
MEM 219.199219 1729975438.7716
MEM 220.082031 1729975438.8720
MEM 221.015625 1729975438.9723
MEM 221.648438 1729975439.0726
MEM 222.609375 1729975439.1727
MEM 223.476562 1729975439.2733
MEM 224.113281 1729975439.3740
MEM 225.054688 1729975439.4744
MEM 225.914062 1729975439.5749
MEM 226.613281 1729975439.6751
MEM 227.496094 1729975439.7752
MEM 228.378906 1729975439.8757
MEM 229.058594 1729975439.9761
