CMDLINE C:\Users\garci\anaconda3\envs\ED\python.exe InsertBthree.py
MEM 231.035156 1729974076.3058
MEM 231.953125 1729974076.4065
MEM 232.625000 1729974076.5067
MEM 233.542969 1729974076.6073
MEM 234.464844 1729974076.7076
MEM 235.132812 1729974076.8077
MEM 236.050781 1729974076.9079
MEM 236.964844 1729974077.0080
MEM 237.613281 1729974077.1086
MEM 238.539062 1729974077.2089
MEM 239.453125 1729974077.3093
MEM 240.132812 1729974077.4099
MEM 241.046875 1729974077.5100
MEM 241.960938 1729974077.6104
MEM 242.632812 1729974077.7107
MEM 243.566406 1729974077.8114
MEM 244.492188 1729974077.9116
MEM 245.410156 1729974078.0117
MEM 246.082031 1729974078.1124
MEM 247.000000 1729974078.2127
MEM 247.894531 1729974078.3128
MEM 248.554688 1729974078.4130
MEM 249.453125 1729974078.5133
MEM 250.375000 1729974078.6135
MEM 251.050781 1729974078.7140
MEM 251.957031 1729974078.8142
MEM 252.875000 1729974078.9148
MEM 253.582031 1729974079.0152
MEM 254.511719 1729974079.1225
MEM 255.437500 1729974079.2231
MEM 256.093750 1729974079.3234
MEM 256.929688 1729974079.4235
MEM 257.816406 1729974079.5241
MEM 258.476562 1729974079.6244
MEM 259.406250 1729974079.7245
MEM 260.320312 1729974079.8247
MEM 260.984375 1729974079.9249
MEM 261.886719 1729974080.0256
MEM 262.785156 1729974080.1259
MEM 263.457031 1729974080.2260
MEM 264.382812 1729974080.3267
MEM 265.437500 1729974080.4269
MEM 266.097656 1729974080.5276
MEM 266.847656 1729974080.6281
MEM 267.734375 1729974080.7284
MEM 268.343750 1729974080.8288
MEM 269.230469 1729974080.9294
MEM 270.109375 1729974081.0295
MEM 270.742188 1729974081.1297
MEM 271.636719 1729974081.2300
MEM 272.554688 1729974081.3302
MEM 273.203125 1729974081.4305
MEM 274.097656 1729974081.5306
MEM 274.734375 1729974081.6310
MEM 275.617188 1729974081.7311
MEM 276.316406 1729974081.8315
MEM 277.234375 1729974081.9316
MEM 278.152344 1729974082.0318
MEM 278.820312 1729974082.1320
MEM 279.742188 1729974082.2324
MEM 280.660156 1729974082.3329
MEM 281.324219 1729974082.4333
MEM 282.261719 1729974082.5337
MEM 283.179688 1729974082.6342
MEM 283.828125 1729974082.7344
MEM 284.718750 1729974082.8347
MEM 285.648438 1729974082.9354
MEM 286.308594 1729974083.0357
MEM 287.246094 1729974083.1363
MEM 288.152344 1729974083.2364
MEM 288.792969 1729974083.3367
MEM 289.718750 1729974083.4371
MEM 290.628906 1729974083.5375
MEM 291.300781 1729974083.6381
MEM 292.218750 1729974083.7385
MEM 293.148438 1729974083.8390
MEM 294.078125 1729974083.9393
MEM 294.753906 1729974084.0397
MEM 295.640625 1729974084.1399
MEM 296.250000 1729974084.2401
MEM 297.132812 1729974084.3403
MEM 298.035156 1729974084.4405
MEM 298.667969 1729974084.5408
MEM 299.570312 1729974084.6412
MEM 300.480469 1729974084.7416
MEM 301.148438 1729974084.8420
MEM 302.074219 1729974084.9424
MEM 302.996094 1729974085.0428
MEM 303.656250 1729974085.1436
MEM 304.574219 1729974085.2441
MEM 305.484375 1729974085.3445
MEM 305.996094 1729974085.4449
MEM 306.914062 1729974085.5453
MEM 307.835938 1729974085.6455
MEM 308.511719 1729974085.7459
MEM 309.425781 1729974085.8463
MEM 310.351562 1729974085.9467
MEM 311.027344 1729974086.0472
MEM 311.957031 1729974086.1475
MEM 312.878906 1729974086.2478
MEM 313.566406 1729974086.3483
MEM 314.492188 1729974086.4487
MEM 315.425781 1729974086.5492
MEM 316.085938 1729974086.6495
MEM 316.996094 1729974086.7496
MEM 317.925781 1729974086.8500
MEM 318.855469 1729974086.9503
MEM 319.535156 1729974087.0507
MEM 320.460938 1729974087.1511
MEM 321.390625 1729974087.2514
MEM 322.082031 1729974087.3519
MEM 322.992188 1729974087.4522
MEM 323.875000 1729974087.5527
MEM 324.503906 1729974087.6530
MEM 325.386719 1729974087.7531
MEM 326.023438 1729974087.8537
MEM 326.937500 1729974087.9538
MEM 327.843750 1729974088.0540
MEM 328.500000 1729974088.1544
MEM 329.410156 1729974088.2548
MEM 330.296875 1729974088.3553
MEM 330.968750 1729974088.4559
MEM 331.886719 1729974088.5563
MEM 332.812500 1729974088.6568
MEM 333.695312 1729974088.7571
MEM 334.320312 1729974088.8575
MEM 335.195312 1729974088.9579
MEM 335.812500 1729974089.0583
MEM 336.675781 1729974089.1588
MEM 337.632812 1729974089.2592
MEM 338.265625 1729974089.3595
MEM 339.144531 1729974089.4597
MEM 340.031250 1729974089.5599
MEM 340.687500 1729974089.6602
MEM 341.562500 1729974089.7605
MEM 342.472656 1729974089.8607
MEM 343.121094 1729974089.9611
MEM 344.015625 1729974090.0613
MEM 344.898438 1729974090.1614
MEM 345.539062 1729974090.2617
MEM 346.421875 1729974090.3619
MEM 347.316406 1729974090.4622
MEM 347.933594 1729974090.5626
MEM 348.828125 1729974090.6627
MEM 349.722656 1729974090.7630
MEM 350.363281 1729974090.8634
MEM 351.277344 1729974090.9638
MEM 352.105469 1729974091.0642
MEM 352.648438 1729974091.1648
MEM 353.535156 1729974091.2650
MEM 354.468750 1729974091.3654
MEM 355.097656 1729974091.4681
MEM 356.000000 1729974091.5685
MEM 356.882812 1729974091.6688
MEM 357.496094 1729974091.7690
MEM 358.414062 1729974091.8695
MEM 359.292969 1729974091.9698
MEM 359.949219 1729974092.0702
MEM 360.859375 1729974092.1707
MEM 361.773438 1729974092.2716
MEM 362.406250 1729974092.3720
MEM 363.316406 1729974092.4723
MEM 364.222656 1729974092.5728
MEM 364.867188 1729974092.6734
MEM 365.769531 1729974092.7739
MEM 366.664062 1729974092.8744
MEM 367.289062 1729974092.9751
MEM 368.179688 1729974093.0753
MEM 369.074219 1729974093.1758
MEM 369.714844 1729974093.2762
MEM 370.617188 1729974093.3769
MEM 371.523438 1729974093.4771
MEM 372.128906 1729974093.5776
MEM 373.007812 1729974093.6780
MEM 373.898438 1729974093.7783
MEM 374.539062 1729974093.8786
MEM 375.445312 1729974093.9789
