CMDLINE C:\Users\garci\anaconda3\envs\ED\python.exe BusquedaInsertBthree2.py
MEM 186.867188 1731279315.8159
MEM 186.867188 1731279315.9161
MEM 186.867188 1731279316.0163
MEM 186.867188 1731279316.1169
MEM 186.867188 1731279316.2173
MEM 186.867188 1731279316.3175
MEM 186.867188 1731279316.4179
MEM 186.867188 1731279316.5182
MEM 186.867188 1731279316.6187
MEM 186.867188 1731279316.7193
MEM 186.867188 1731279316.8198
MEM 186.867188 1731279316.9201
MEM 186.867188 1731279317.0203
MEM 186.867188 1731279317.1207
MEM 186.867188 1731279317.2209
MEM 186.867188 1731279317.3212
MEM 186.875000 1731279317.4216
MEM 186.875000 1731279317.5218
MEM 186.875000 1731279317.6221
MEM 186.875000 1731279317.7223
MEM 186.875000 1731279317.8227
MEM 186.875000 1731279317.9229
MEM 186.894531 1731279318.0233
MEM 186.894531 1731279318.1234
MEM 186.894531 1731279318.2237
MEM 186.894531 1731279318.3240
MEM 186.894531 1731279318.4245
MEM 186.894531 1731279318.5250
MEM 186.894531 1731279318.6255
MEM 186.894531 1731279318.7256
MEM 186.894531 1731279318.8259
MEM 186.894531 1731279318.9264
MEM 186.894531 1731279319.0264
MEM 186.902344 1731279319.1271
MEM 186.953125 1731279319.2272
MEM 186.953125 1731279319.3274
MEM 186.953125 1731279319.4279
MEM 186.953125 1731279319.5281
MEM 186.953125 1731279319.6283
MEM 186.953125 1731279319.7288
MEM 186.953125 1731279319.8294
MEM 186.953125 1731279319.9295
MEM 186.953125 1731279320.0300
MEM 186.953125 1731279320.1303
MEM 186.953125 1731279320.2306
MEM 186.953125 1731279320.3309
MEM 186.953125 1731279320.4311
MEM 186.953125 1731279320.5314
MEM 186.953125 1731279320.6319
MEM 186.953125 1731279320.7323
MEM 186.968750 1731279320.8326
MEM 186.968750 1731279320.9333
MEM 186.968750 1731279321.0337
MEM 186.968750 1731279321.1339
MEM 187.042969 1731279321.2343
MEM 187.042969 1731279321.3349
MEM 187.042969 1731279321.4354
MEM 187.042969 1731279321.5357
MEM 187.042969 1731279321.6359
MEM 187.042969 1731279321.7363
MEM 187.042969 1731279321.8365
MEM 187.042969 1731279321.9369
MEM 187.042969 1731279322.0373
MEM 187.042969 1731279322.1374
MEM 187.042969 1731279322.2378
MEM 187.042969 1731279322.3380
MEM 187.042969 1731279322.4383
MEM 187.042969 1731279322.5384
MEM 187.042969 1731279322.6389
MEM 187.042969 1731279322.7390
MEM 187.042969 1731279322.8396
MEM 187.042969 1731279322.9399
MEM 187.042969 1731279323.0403
MEM 187.042969 1731279323.1408
MEM 187.042969 1731279323.2413
MEM 187.042969 1731279323.3417
MEM 187.042969 1731279323.4420
MEM 187.042969 1731279323.5423
MEM 187.042969 1731279323.6424
MEM 187.042969 1731279323.7426
MEM 187.042969 1731279323.8428
MEM 187.042969 1731279323.9431
MEM 187.042969 1731279324.0435
MEM 187.167969 1731279324.1437
MEM 187.167969 1731279324.2438
MEM 187.167969 1731279324.3440
MEM 187.167969 1731279324.4443
MEM 187.167969 1731279324.5448
MEM 187.167969 1731279324.6453
MEM 187.167969 1731279324.7457
MEM 187.167969 1731279324.8460
MEM 187.167969 1731279324.9467
MEM 187.167969 1731279325.0472
MEM 187.167969 1731279325.1475
MEM 187.167969 1731279325.2478
MEM 187.167969 1731279325.3479
MEM 187.167969 1731279325.4482
MEM 187.167969 1731279325.5483
MEM 187.167969 1731279325.6488
MEM 187.167969 1731279325.7491
MEM 187.167969 1731279325.8496
MEM 187.167969 1731279325.9497
MEM 187.167969 1731279326.0501
MEM 187.167969 1731279326.1504
MEM 187.167969 1731279326.2509
MEM 187.167969 1731279326.3510
MEM 187.167969 1731279326.4515
MEM 187.167969 1731279326.5518
MEM 187.167969 1731279326.6520
MEM 187.167969 1731279326.7524
MEM 187.167969 1731279326.8525
MEM 187.167969 1731279326.9527
MEM 187.167969 1731279327.0533
MEM 187.167969 1731279327.1536
MEM 187.167969 1731279327.2542
MEM 187.167969 1731279327.3548
MEM 187.167969 1731279327.4554
MEM 187.167969 1731279327.5560
MEM 187.167969 1731279327.6563
MEM 187.167969 1731279327.7565
MEM 187.167969 1731279327.8569
MEM 187.167969 1731279327.9572
MEM 187.167969 1731279328.0577
MEM 187.167969 1731279328.1581
MEM 187.167969 1731279328.2588
MEM 187.167969 1731279328.3592
MEM 187.167969 1731279328.4596
MEM 187.167969 1731279328.5602
MEM 187.167969 1731279328.6604
MEM 187.167969 1731279328.7608
MEM 187.167969 1731279328.8615
MEM 187.167969 1731279328.9621
MEM 187.167969 1731279329.0625
MEM 187.167969 1731279329.1632
MEM 187.167969 1731279329.2636
MEM 187.167969 1731279329.3639
MEM 187.167969 1731279329.4642
MEM 187.167969 1731279329.5649
MEM 187.167969 1731279329.6653
MEM 187.167969 1731279329.7658
MEM 187.167969 1731279329.8660
MEM 187.167969 1731279329.9663
MEM 187.167969 1731279330.0664
MEM 187.167969 1731279330.1666
MEM 187.167969 1731279330.2669
MEM 187.167969 1731279330.3670
MEM 187.167969 1731279330.4674
MEM 187.167969 1731279330.5677
MEM 187.167969 1731279330.6678
MEM 187.167969 1731279330.7683
MEM 187.167969 1731279330.8686
MEM 187.167969 1731279330.9690
MEM 187.167969 1731279331.0693
MEM 187.167969 1731279331.1698
MEM 187.167969 1731279331.2701
MEM 187.167969 1731279331.3707
MEM 187.167969 1731279331.4710
MEM 187.167969 1731279331.5712
MEM 187.167969 1731279331.6717
MEM 187.167969 1731279331.7723
MEM 187.167969 1731279331.8728
MEM 187.167969 1731279331.9733
MEM 187.167969 1731279332.0735
MEM 187.167969 1731279332.1739
MEM 187.167969 1731279332.2744
MEM 187.167969 1731279332.3751
MEM 187.167969 1731279332.4753
MEM 187.167969 1731279332.5755
MEM 187.167969 1731279332.6757
MEM 187.167969 1731279332.7762
MEM 187.167969 1731279332.8767
MEM 187.167969 1731279332.9771
MEM 187.167969 1731279333.0775
MEM 187.246094 1731279333.1779
MEM 187.246094 1731279333.2782
MEM 187.246094 1731279333.3786
MEM 187.246094 1731279333.4791
MEM 187.246094 1731279333.5796
MEM 187.246094 1731279333.6797
MEM 187.246094 1731279333.7799
MEM 187.246094 1731279333.8803
MEM 187.246094 1731279333.9807
MEM 187.246094 1731279334.0810
MEM 187.246094 1731279334.1814
MEM 187.246094 1731279334.2815
MEM 187.246094 1731279334.3818
MEM 187.246094 1731279334.4819
MEM 187.246094 1731279334.5823
MEM 187.246094 1731279334.6827
MEM 187.246094 1731279334.7831
MEM 187.246094 1731279334.8834
MEM 187.246094 1731279334.9840
MEM 187.246094 1731279335.0844
MEM 187.246094 1731279335.1846
MEM 187.246094 1731279335.2848
MEM 187.246094 1731279335.3849
MEM 187.246094 1731279335.4850
MEM 187.246094 1731279335.5856
MEM 187.246094 1731279335.6861
MEM 187.246094 1731279335.7863
MEM 187.246094 1731279335.8865
MEM 187.246094 1731279335.9867
MEM 187.246094 1731279336.0873
MEM 187.246094 1731279336.1875
MEM 187.246094 1731279336.2881
MEM 187.246094 1731279336.3882
MEM 187.246094 1731279336.4885
MEM 187.246094 1731279336.5887
MEM 187.246094 1731279336.6892
MEM 187.246094 1731279336.7897
MEM 187.246094 1731279336.8899
MEM 187.246094 1731279336.9901
MEM 187.246094 1731279337.0905
MEM 187.246094 1731279337.1907
MEM 187.324219 1731279337.2909
MEM 187.324219 1731279337.3914
MEM 187.324219 1731279337.4919
MEM 187.324219 1731279337.5924
MEM 187.324219 1731279337.6926
MEM 187.324219 1731279337.7931
MEM 187.324219 1731279337.8932
MEM 187.324219 1731279337.9936
MEM 187.324219 1731279338.0940
MEM 187.324219 1731279338.1943
MEM 187.324219 1731279338.2944
MEM 187.324219 1731279338.3946
MEM 187.324219 1731279338.4949
MEM 187.324219 1731279338.5953
MEM 187.324219 1731279338.6957
MEM 187.324219 1731279338.7961
MEM 187.324219 1731279338.8966
MEM 187.324219 1731279338.9968
MEM 187.324219 1731279339.0969
MEM 187.324219 1731279339.1974
MEM 187.324219 1731279339.2978
MEM 187.324219 1731279339.3982
MEM 187.324219 1731279339.4986
MEM 187.324219 1731279339.5989
MEM 187.324219 1731279339.6993
MEM 187.324219 1731279339.7995
MEM 187.324219 1731279339.8996
MEM 187.324219 1731279340.0000
MEM 187.324219 1731279340.1006
MEM 187.324219 1731279340.2010
MEM 187.324219 1731279340.3015
MEM 187.324219 1731279340.4017
MEM 187.324219 1731279340.5019
MEM 187.324219 1731279340.6024
MEM 187.324219 1731279340.7031
MEM 187.324219 1731279340.8035
MEM 187.324219 1731279340.9036
MEM 187.324219 1731279341.0039
MEM 187.324219 1731279341.1045
MEM 187.324219 1731279341.2047
MEM 187.324219 1731279341.3052
MEM 187.324219 1731279341.4055
MEM 187.324219 1731279341.5061
MEM 187.324219 1731279341.6065
MEM 187.324219 1731279341.7069
MEM 187.324219 1731279341.8071
MEM 187.324219 1731279341.9077
MEM 187.324219 1731279342.0081
MEM 187.324219 1731279342.1082
MEM 187.324219 1731279342.2087
MEM 187.324219 1731279342.3092
MEM 187.324219 1731279342.4094
MEM 187.324219 1731279342.5097
MEM 187.324219 1731279342.6098
MEM 187.324219 1731279342.7103
MEM 187.324219 1731279342.8109
MEM 187.324219 1731279342.9111
MEM 187.324219 1731279343.0117
MEM 187.324219 1731279343.1121
MEM 187.324219 1731279343.2126
MEM 187.324219 1731279343.3128
MEM 187.324219 1731279343.4132
MEM 187.324219 1731279343.5135
MEM 187.324219 1731279343.6140
MEM 187.324219 1731279343.7143
MEM 187.324219 1731279343.8144
MEM 187.324219 1731279343.9147
MEM 187.324219 1731279344.0153
MEM 187.324219 1731279344.1154
MEM 187.324219 1731279344.2160
MEM 187.324219 1731279344.3162
MEM 187.324219 1731279344.4165
MEM 187.324219 1731279344.5170
MEM 187.324219 1731279344.6173
MEM 187.324219 1731279344.7176
MEM 187.324219 1731279344.8179
MEM 187.324219 1731279344.9184
MEM 187.324219 1731279345.0188
MEM 187.324219 1731279345.1195
MEM 187.324219 1731279345.2200
MEM 187.324219 1731279345.3203
MEM 187.324219 1731279345.4207
MEM 187.324219 1731279345.5213
MEM 187.324219 1731279345.6214
MEM 187.324219 1731279345.7216
MEM 187.324219 1731279345.8217
MEM 187.324219 1731279345.9222
MEM 187.324219 1731279346.0223
MEM 187.324219 1731279346.1229
MEM 187.324219 1731279346.2230
MEM 187.324219 1731279346.3233
MEM 187.324219 1731279346.4237
MEM 187.324219 1731279346.5241
MEM 187.324219 1731279346.6246
MEM 187.324219 1731279346.7248
MEM 187.324219 1731279346.8254
MEM 187.324219 1731279346.9260
MEM 187.324219 1731279347.0264
